DATE,BOOK,EVENT_TYPE,NUMBER,MAIN ITEM,PROJECT,TRANSACTION,VENDOR,CODE,EXPLANATION,AMOUNT, UNIT_PRICE , TOTAL_AMOUNT , ,,
6/16/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 100,000.00 "," € 100,000.00 "," € 100,000.00 ",,
6/24/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 100,000.00 "," € 100,000.00 "," € 100,000.00 ",,
7/1/2017,INVENTORY,INV_IN,,PLOT,IPSILANTOU,PLOT PURCHASE,BA,,PURCHASE OF IPSILANTOU,1," € 480,000.00 "," € 480,000.00 "," € 480,000.00 ",,
7/1/2017,NKASA-A,OUT,,PLOT,IPSILANTOU,PLOT PAYMENT,BA,,PAYMENT OF IPSILANTOU,1," € 480,000.00 "," € 480,000.00 ","-€ 480,000.00 ",,
7/1/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 480,000.00 "," € 480,000.00 "," € 480,000.00 ",,
7/1/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 10,000.00 "," € 10,000.00 "," € 10,000.00 ",,
7/1/2017,NKASA-A,IN,,CP,,,BA,,BA,1," € 10,000.00 "," € 10,000.00 "," € 10,000.00 ",,
7/1/2017,INVENTORY,INV_IN,,PLOT,DELIGIANNAKI,PLOT PURCHASE,VAZEOU-VAZEOS,,PURCHASE OF DELIGIANNAKI,1," € 550,000.00 "," € 550,000.00 "," € 550,000.00 ",,
7/1/2017,NKASA-A,OUT,,PLOT,DELIGIANNAKI,PLOT PAYMENT,VAZEOU-VAZEOS,,DOWN PAYMENT,1," € 10,000.00 "," € 10,000.00 ","-€ 10,000.00 ",,
7/6/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 200,000.00 "," € 200,000.00 ","-€ 200,000.00 ",,
7/12/2017,NKASA-I,IN,,CP,,,BA,,BA,1," € 100,000.00 "," € 100,000.00 "," € 100,000.00 ",,
7/12/2017,NKASA-I,OUT,,LOAN,S BV TO FB,LOAN TRANSFER,FB,,FB,1," € 60,000.00 "," € 60,000.00 ","-€ 60,000.00 ",,
